x,y,z,tke
2.4984584,1.280861,0.005,0.13744226
2.4743412,1.2903869,0.005,0.13157883
2.481302,1.2837218,0.005,0.13455592
2.497647,1.2986399,0.005,0.11068118
2.4989722,1.26188,0.005,0.15919669
2.4869335,1.2753944,0.005,0.17520478
2.4610727,1.2857972,0.005,0.14025067
2.4507444,1.2830775,0.005,0.14780472
2.4651527,1.2687365,0.005,0.13810658
2.4861598,1.2502161,0.005,0.19122343
2.4788694,1.257637,0.005,0.19969797
2.44891,1.2702985,0.005,0.18185994
2.4629619,1.2701436,0.005,0.12980612
2.4384813,1.2924014,0.005,0.1295335
2.4643738,1.2661415,0.005,0.14380591
2.4721513,1.2394902,0.005,0.1762765
2.4916658,1.2397641,0.005,0.20857951
2.4678464,1.2530024,0.005,0.18957616
2.4461262,1.2579182,0.005,0.21245226
2.462183,1.2675487,0.005,0.1452094
2.4344146,1.2727324,0.005,0.15747416
2.4273109,1.2861478,0.005,0.14427261
2.4205532,1.2983266,0.005,0.10356152
2.4720578,1.2355825,0.005,0.19399452
2.4855494,1.2276082,0.005,0.21015847
2.4982519,1.2199112,0.005,0.19620818
2.4345138,1.2572087,0.005,0.21131086
2.4565892,1.2477828,0.005,0.22324264
2.4174287,1.2752978,0.005,0.19849165
2.4019344,1.2974899,0.005,0.12228157
2.4688475,1.2338043,0.005,0.21301942
2.4761889,1.2159914,0.005,0.22955312
2.4973779,1.2016966,0.005,0.22509977
2.4214091,1.2589875,0.005,0.21606325
2.4335496,1.2427107,0.005,0.19546299
2.4517686,1.2370453,0.005,0.21169156
2.4026978,1.282822,0.005,0.17641206
2.383034,1.2969509,0.005,0.11417545
2.3798294,1.2986245,0.005,0.095180914
2.4986231,1.1800181,0.005,0.2130044
2.4631481,1.2148767,0.005,0.22479305
2.496875,1.1833657,0.005,0.21060315
2.4836261,1.201507,0.005,0.2403107
2.4160736,1.2494681,0.005,0.20919156
2.4346244,1.2393275,0.005,0.19899745
2.4512281,1.2219216,0.005,0.2279035
2.3988006,1.2566115,0.005,0.18668395
2.3906147,1.2769151,0.005,0.18670496
2.3609281,1.2979367,0.005,0.12185092
2.3597143,1.2836275,0.005,0.17012312
2.4979348,1.1613162,0.005,0.22183552
2.4579329,1.1960655,0.005,0.21721101
2.4777527,1.1894057,0.005,0.22598813
2.4841671,1.1595067,0.005,0.22804166
2.4129241,1.2346467,0.005,0.22681145
2.4213934,1.2233509,0.005,0.21756215
2.4334488,1.2133492,0.005,0.22495162
2.3963947,1.2546624,0.005,0.19320816
2.3761232,1.2711034,0.005,0.18393284
2.3421001,1.2971267,0.005,0.11337133
2.3389404,1.2985023,0.005,0.11259732
2.3170938,1.290126,0.005,0.1690841
2.3467016,1.2773732,0.005,0.17317931
2.3000047,1.2988404,0.005,0.11643472
