Run_ID,Start_X,Start_Y,Goal_X,Goal_Y,Condition,Consider_Wind,Consider_TKE,Path Length,Cost,Computational Time
1,400,600,800,800,No Wind,FALSE,FALSE,545,545,0.130426645
2,400,600,800,800,No Wind,FALSE,FALSE,575,575,0.117186785
3,400,600,800,800,No Wind,FALSE,FALSE,540,540,0.097564697
4,400,600,800,800,No Wind,FALSE,FALSE,945,945,0.38845253
5,400,600,800,800,No Wind,FALSE,FALSE,825,825,0.942897558
6,400,600,800,800,No Wind,FALSE,FALSE,560,560,0.098534107
7,400,600,800,800,No Wind,FALSE,FALSE,820,820,0.513184547
8,400,600,800,800,No Wind,FALSE,FALSE,840,840,1.312693834
9,400,600,800,800,No Wind,FALSE,FALSE,780,780,0.245913744
10,400,600,800,800,No Wind,FALSE,FALSE,560,560,0.082609415
11,400,600,800,800,No Wind,FALSE,FALSE,530,530,0.046591282
12,400,600,800,800,No Wind,FALSE,FALSE,560,560,0.059100389
13,400,600,800,800,No Wind,FALSE,FALSE,665,665,0.066577435
14,400,600,800,800,No Wind,FALSE,FALSE,520,520,0.071518898
15,400,600,800,800,No Wind,FALSE,FALSE,935,935,0.203053713
16,400,600,800,800,No Wind,FALSE,FALSE,520,520,0.376139879
17,400,600,800,800,No Wind,FALSE,FALSE,540,540,0.046503782
18,400,600,800,800,No Wind,FALSE,FALSE,545,545,0.094046354
19,400,600,800,800,No Wind,FALSE,FALSE,560,560,0.122723341
20,400,600,800,800,No Wind,FALSE,FALSE,1000,1000,0.350786448
21,400,600,800,800,No Wind,FALSE,FALSE,895,895,0.139061689
22,400,600,800,800,No Wind,FALSE,FALSE,1015,1015,0.286310196
23,400,600,800,800,No Wind,FALSE,FALSE,1015,1015,0.284236193
24,400,600,800,800,No Wind,FALSE,FALSE,1050,1050,0.356892347
25,400,600,800,800,No Wind,FALSE,FALSE,1295,1295,0.970721245
26,400,600,800,800,No Wind,FALSE,FALSE,530,530,0.116677999
27,400,600,800,800,No Wind,FALSE,FALSE,615,615,0.648805857
28,400,600,800,800,No Wind,FALSE,FALSE,540,540,0.040087461
29,400,600,800,800,No Wind,FALSE,FALSE,565,565,0.668901443
30,400,600,800,800,No Wind,FALSE,FALSE,935,935,0.347603083
31,400,600,800,800,No Wind,FALSE,FALSE,535,535,0.080020189
32,400,600,800,800,No Wind,FALSE,FALSE,1095,1095,2.574067116
33,400,600,800,800,No Wind,FALSE,FALSE,560,560,0.10145092
34,400,600,800,800,No Wind,FALSE,FALSE,695,695,0.154273987
35,400,600,800,800,No Wind,FALSE,FALSE,1075,1075,0.200167179
36,400,600,800,800,No Wind,FALSE,FALSE,615,615,0.232168913
37,400,600,800,800,No Wind,FALSE,FALSE,742.7080225,742.7080225,1.330645323
38,400,600,800,800,No Wind,FALSE,FALSE,590,590,0.083091974
39,,,,,No Wind,,,565,565,0.306562185
40,400,600,800,800,No Wind,FALSE,FALSE,765,765,0.100232124
41,400,600,800,800,No Wind,FALSE,FALSE,550,550,0.089988232
42,400,600,800,800,No Wind,FALSE,FALSE,1175,1175,0.663312435
43,400,600,800,800,No Wind,FALSE,FALSE,580,580,0.057641983
44,400,600,800,800,No Wind,FALSE,FALSE,930,930,1.276947737
45,400,600,800,800,No Wind,FALSE,FALSE,1320,1320,2.358785152
46,400,600,800,800,No Wind,FALSE,FALSE,635,635,0.071120024
47,400,600,800,800,No Wind,FALSE,FALSE,550,550,1.203704357
48,400,600,800,800,No Wind,FALSE,FALSE,1010,1010,0.273922682
49,400,600,800,800,No Wind,FALSE,FALSE,505,505,0.091248989
50,400,600,800,800,No Wind,FALSE,FALSE,550,550,0.247802019
51,400,600,800,800,No Wind,FALSE,FALSE,805,805,0.144142151
52,400,600,800,800,No Wind,FALSE,FALSE,555,555,0.173008204
53,400,600,800,800,No Wind,FALSE,FALSE,815,815,0.94086051
54,400,600,800,800,No Wind,FALSE,FALSE,550,550,0.042124033
55,400,600,800,800,No Wind,FALSE,FALSE,535,535,0.63620615
56,400,600,800,800,No Wind,FALSE,FALSE,865,865,0.327411413
57,400,600,800,800,No Wind,FALSE,FALSE,545,545,0.221717834
58,400,600,800,800,No Wind,FALSE,FALSE,950,950,0.262089014
59,400,600,800,800,No Wind,FALSE,FALSE,505,505,0.143671036
60,400,600,800,800,No Wind,FALSE,FALSE,570,570,0.052528143
61,400,600,800,800,No Wind,FALSE,FALSE,1120,1120,0.553767443
62,400,600,800,800,No Wind,FALSE,FALSE,780,780,0.686197996
63,400,600,800,800,No Wind,FALSE,FALSE,945,945,0.649078846
64,400,600,800,800,No Wind,FALSE,FALSE,550,550,0.038166046
65,400,600,800,800,No Wind,FALSE,FALSE,555,555,0.059042454
66,400,600,800,800,No Wind,FALSE,FALSE,708.3728014,708.3728014,0.342424393
67,400,600,800,800,No Wind,FALSE,FALSE,930,930,0.163711071
68,400,600,800,800,No Wind,FALSE,FALSE,535,535,0.131758451
69,400,600,800,800,No Wind,FALSE,FALSE,555,555,0.081552505
70,400,600,800,800,No Wind,FALSE,FALSE,1050,1050,0.475192308
71,400,600,800,800,No Wind,FALSE,FALSE,975,975,0.155169487
72,400,600,800,800,No Wind,FALSE,FALSE,550,550,0.089570522
73,400,600,800,800,No Wind,FALSE,FALSE,1085,1085,0.2074368
74,400,600,800,800,No Wind,FALSE,FALSE,550,550,0.048111439
75,400,600,800,800,No Wind,FALSE,FALSE,985,985,0.319657803
76,400,600,800,800,No Wind,FALSE,FALSE,550,550,0.454376221
77,400,600,800,800,No Wind,FALSE,FALSE,550,550,0.125143051
78,400,600,800,800,No Wind,FALSE,FALSE,540,540,0.131754398
79,400,600,800,800,No Wind,FALSE,FALSE,860,860,0.71466136
80,400,600,800,800,No Wind,FALSE,FALSE,500,500,0.106710196
81,400,600,800,800,No Wind,FALSE,FALSE,570,570,0.414241076
82,400,600,800,800,No Wind,FALSE,FALSE,565,565,0.127642393
83,400,600,800,800,No Wind,FALSE,FALSE,1035,1035,0.253619909
84,400,600,800,800,No Wind,FALSE,FALSE,1470,1470,0.78209734
85,400,600,800,800,No Wind,FALSE,FALSE,790,790,1.032214403
86,400,600,800,800,No Wind,FALSE,FALSE,585,585,0.084928513
87,400,600,800,800,No Wind,FALSE,FALSE,565,565,0.064132929
88,400,600,800,800,No Wind,FALSE,FALSE,535,535,0.217681408
89,400,600,800,800,No Wind,FALSE,FALSE,1100,1100,0.427675247
90,400,600,800,800,No Wind,FALSE,FALSE,510,510,0.341243982
91,400,600,800,800,No Wind,FALSE,FALSE,500,500,0.105376244
92,400,600,800,800,No Wind,FALSE,FALSE,550,550,0.055192709
93,400,600,800,800,No Wind,FALSE,FALSE,1430,1430,0.631788254
94,400,600,800,800,No Wind,FALSE,FALSE,595,595,0.152898073
95,400,600,800,800,No Wind,FALSE,FALSE,755,755,0.142574549
96,400,600,800,800,No Wind,FALSE,FALSE,630,630,1.11811924
97,400,600,800,800,No Wind,FALSE,FALSE,510,510,0.084038258
98,400,600,800,800,No Wind,FALSE,FALSE,940,940,0.361464739
99,400,600,800,800,No Wind,FALSE,FALSE,575,575,0.108673334
100,400,600,800,800,No Wind,FALSE,FALSE,1065,1065,0.417192698
1,400,600,800,800,With Wind,TRUE,FALSE,810,650.9876069,0.571417809
2,400,600,800,800,With Wind,TRUE,FALSE,594.8521009,444.3205656,0.828349352
